,Reviews
116,"I am not an earbud critic, but I know what I like and I like these a lot.After losing one of my old earbuds after meeting the founder of Culver's at the first Culver's Restaurant, a truly historic moment in my life, I was adrift.I liked my old earbuds and made a desperate call to the store to see if it had been found.  To my joy, they told me that it had been recovered, but my hopes were quickly dashed when they informed me that they couldn't mail it to me since I live out of state.I had flown too close to fast food greatness and had been burned as a result. Culver's is still great btw.Anyway, I found these earbuds while morosely scrolling through Amazon in an attempt to find the same brand and style that I had.These earbuds were on sale for $50, which seemed a bit much, but when I noticed they were 50% off I thought, why not?I had heard good things about JBL and these did not disappoint.  The value for the money I spent is fantastic. The built in mic is great for hands free calling, something that was always a challenge with my old ones.These have great battery life.  I charge them on Sundays and use them the whole week without issue. The Bluetooth connection is smooth and I love the range of features available with them.I can easily turn them to noise cancelling, ambient aware and talk through with a tap of my finger and it is equally as easy to switch tracks forward or back.I hope that I don't lose one of these as their loss would be far harder to bear.  Don't think about, buy these now! You won't regret it. Happy listening!
Read more"
117,"Awesome buds. Superb sound quality. Awesome app with custom EQ settings. On default sound, the bass is boosted +4dB, so you don't really need Spotify's EQ settings to boost it further.A few minor things though. The case is bad quality. I literally had the case in my pocket with my phone against the phone's screen side and the case already has markings. From...smooth glass? The finish wears off too quickly. It's a matte coating and won't last so you'll need a case. Also, the earbuds seem to rely on staying in your ears 100% on the silicone tips being squeezed into your ears. There is nothing else providing stability. They do stay in my ears during my workouts, but they loosen over and over and it leads to decreased bass in my music until I readjust them.All in all, $50 is a pretty good price, but you'll need a $10 case. Even with a case, which most are made out of silicone, it'll wear off the matte finish over time. Don't expect the case to be nice after a year.
Read more"
118,"My main pair of buds is my Google Pixel Bud Pros, but I recently left them at the office. Not knowing when i would be back, i decided to look for a reasonably priced back up pair. These JBL Tune Buds were on a 50% off sale and had plenty of positive reviews. Opted for the blue and am glad i did....the color is nice!One negative that came up in reviews is the fit, which made me a little nervous, as sometimes i have a hard time keeping buds in. I rolled the dice and am glad i did!These arrived on time, and well packaged. They did not include a USB-C cable (unless i missed it), but thats fine because we have a ton of those kicking around. They came shipped with a 60% charge on the case, and 100% charge on the buds, so I was able to test right away.Downloading the app was simple and it installed quickly. The interface is nicely laid out, and is reminiscent of other audio apps for buds with controls for noise cancelation, equalizer, and touch features. Simple to navigate and customize.The buds connected right away, and are quick to connect every time i remove them from the case. The sound is quite good, and I have yet to experiment with the EQ. I do wish they would go a little louder, but i think thats more a phone thing than the buds (my pixel 7 pro could use more volume). Touch controls work well, but the one omission i notice is the slide to change volume. I have this feature on my pixel buds, and really like being able to adjust the volume without needing to handle my phone. For the price, this is not a deal breaker. Some comments say the noise cancelation isnt the best. While that may be the case, it's still effective and i find it sufficient for my needs.Calls are clear for both myself and the other party. Voice come through clearly and is a nice call experience. Voice to text dictation works flawlessly.The buds charge quickly, as does the case, and I seem to get multiple charges to the buds (more than i get with my pixel buds) with one case charge.Overall, these were a great purchase and can easily see myself using these as my main buds if my pixel buds are ever lost or stop functioning.
Read more"
119,"Comfortable in my ears! Fit well with the medium bud pieces. The design is fun and comfortable. The sound is phenomenal, used them while working a haunted house to block out some of the noise, and they were perfect. They’ve been dropped a few times and still work great. Quite durable! There’s been no problem with connecting to any of my devices. Love the purple a lot!
Read more"
120,"Se escuchan super bien y son muy cómodos, la carga de la batería es excelente.
Read more"
121,"These earbuds deliver good sound quality but they don’t fit me really well and tend to fall out.
Read more"
122,"Suenan bien perfecto para regalo
Read more"
123,"I have 2 pairs of these buds.  Money was no object and I tried almost every brands and more expensive buds before selecting these buds.  The sub-bass is incredible.  Some other brands had also great sound but all were not loud enough, to my taste.  I use these buds while driving my harley and it lowers significantly my Harley exhaust sound and more importantly, the loud tire noise from adjacent cars on the higway.  It makes everything much quieter, relative to unwanted noise in your environment.  Unless you have small ears, I recommend using the biggest size Rubber/Silicone Ear Tips.  Definitly not recommended for running as they are a little heavy and fall easily.
Read more"
124,"Amazing sound with high quality low-high drivers on these JBL's. Noise cancelling is best in class for these earbuds, and the pass-through mode for still hearing conversation with them in works very well.They last FOREVER. I work 12 hour shifts and can easily get through a shift with the bud in my right ear all day. Over my hour lunch break I put it back in the case and that charge is enough to get me through an entire day with no interruptions. In my experience the advertised 40 total hours of listening with the charging case is very accurate. I measured it at 38.5 hours with the volume set to about 80-85%. I'm sure you could easily get 40+ hours if using them at 50% volume.The charging case is great, feels very high quality. Charges wirelessly on a charging pad or with USBC input. Charges very quickly, roughly 1.5-2 hours for a full charge if you are charging them with a low volt charger as you are supposed to as not to damage the internal battery.*NOTE* please people, don't charge any of your earbuds of any brand with a 100 watt fast charger, you will damage the battery over time I promise.The JBL app is one of the best earbud companion apps I've used. It blows the BEATS app out of the water and is much better than the majority of its competition. You can change EQ, noise cancelling, and touch control programming quickly and easily.Speaking of touch controls, they are located on the stem of each bud and work very reliably in my experience. 1 tap for pause, 2 taps for skip ahead, 1 tap hold for voice assistant. 2 taps then hold on the 2nd tap for pairing mode. Haven't had any issues with accidental touches over the last 6+ months of using them every day.The sound profile is rich and deep, with these high quality drivers after Harmon kardon joined with JBL, they are much more well rounded than anything else in the 150 dollar range. Highs are crisp and satisfying and lows have a great little rumble without muddling the mids. Soundstage isnt too open like you get with some of the partial In ear designs but doesn't feel closed off and stuffy either. My father in law was an audio engineer in Hollywood for 40 years and worked for almost every major band under the sun as well as the Jimmy Kimmel show for many years, and when he tried these out on our last visit he was genuinely impressed. He is normally a Sony or Bose guy but expressed interest in buying a pair of these for around the house.As far as fitment goes, I go with the middle sized silicone tips and they work great for me. There are small, medium and large tips that come in the package. They are more comfortable than the beats I have and far more comfortable than my airpods pro. I can use them for 12 hours straight without ear fatigue. They are ported enough where they don't feel stuffy in my ears and don't make my ears itchy like most other buds do after only a couple of hours.Overall, I highly recommend these earbuds from JBL. They are the best value for money in this price range--bar none. I would take these all day everyday over my airpods pro and that's saying something as those are no slouch either. If you are on the fence about these, I'd advise you to just buy them and see for yourself. As someone who uses earbuds for 12 hours a day, 48 hours a week, these are my go-to buds and I've tried at least 20 other models from all the major brands.
Read more"
125,"At time of writing Ive had these headphones about a year. These are my first set of TWS (true wireless stereo) headphones. I was hesitant to get this type of headphones thinking I would easily lose the earbud, but so far I have not. They do have the ability to play a chime if you are trying to find a misplaced earbud, which is nice (ive used this more than once)I find them to be very comfortable to wear, though I do get a bit of fatigue after a few hours and have to take them out for a bit. They stay pretty well put even when active (working out, cycling, etc)The noise cancelling is great. Cuts out the low frequency drone on planes and trains, background chatter at airports, etc; even without music playing. You do still hear people talking to you, but it muffles it significantly...if someone is trying to talk to me with the headphones in listening to music, it takes a minute for me to realize it. Wind buffeting is usually pretty minimal; I wear these headphones cycling and its usually not noticeable amount of buffeting.Im not an audiophile, but I think the sound quality is very good, and has good lows/bass for an earbud.Battery life is excellent. You can get probably 8 hours straight out of the headphones, but since the case charges them, if you take them out and put them in the case for a bit they will top off. I dont normally wear them until the battery dies, but Id say you can probably get 3 or 4 full charges from the case. Recharging the headphones is quick, and recharging the case itself is also quick (USB C). The earbuds self-locate (magnetically) into the case, so they quickly stow away and also dont just fall out when you open the case. The case has 3 led lights that indicate charge level of the case. The case lid feels a little flimsy, but so far it has held up fine.I disabled the tap actions of the headphones, but it does have the functionality and are customizable in the app. The app is pretty good and easy to use. With my iPhone, sometimes when i answer a call it does not use the headphones and i have to manually select that which is kind of annoying but not a deal breaker. Im sure the AirPods would be better integrated for answering calls.Not sure if they were on sale at the time I purchased them, but they were $100 at that time (fall 2023) and now are $150. Id say they are still a good deal even at the higher price, but they were an absolute BARGAIN at the price I bought them.
Read more"
126,"Bought these (after much research) as a replacement for my Sony WF-1000XM3. The Sonys had excellent sound & class leading noise cancellation. But, I never loved the design. They never stayed in the ear properly, so I was looking for something in the hook design, like an AirPod.I spent some time comparing these JBLs to Apple AirPods. The reviews of these JBL earbuds suggested them as the best alternative to the AirPods. A sale, plus a coupon, and I got these JBLs on Amazon for $150, or about half the price of the AirPod 4 with ANC.In terms of performance & fit, the JBLs come as advertised. They are comfortable & crucially, they stay stable in my ear whilst walking.As for sound? They rate very well. I use the JBL app & tried a few sound profiles. What impressed me most was the bass performance.The noise cancellation initially left me wanting. I walked thru the train station for the first time with these (I have a hour daily commute) and the amount of noise leaking in was disappointing. But, I went into the settings and noticed the Adaptive Noise Cancelling wasn’t utilizing the full capability of the NC feature. So I turned off the “Adaptive” NC and manually set the NC to the maximum & the difference was noticeable.Now, the noise cancelling on these buds prob falls a bit short of Apple or Sony, but I’d guess you are getting about 80% of the NC at about half the price. All those low end rumbles are filtered out, making for a quiet commute for me.Some other points, I really like the case. It’s compact. It features wireless charging. Battery life for these buds is listed at 6 hours with ANC & the case gives you an additional 30hrs.If you are looking for a new set of earbuds, & don’t want to spend $300CDN, I’d highly recommend these buds.
Read more"
127,"El audio es excelente, la cancelación de ruido cumple su objetivo, en color plata se ven premium, es una buena adquisición con calidad JBL.
Read more"
128,"The sound quality is very good, and the noise cancellation is surprisingly good for this size. Battery life is quite good. There seems to be occasionally a brief cut-off in connections (could be interference or error on my side).Really happy with the purchase. Worth it. Will update if there is anything else to add.
Read more"
129,"JBL in my opinion is one of the better earbuds out there. This one is one of their pricier options but it's well wort it if purchased on a sale. Here are some things I liked.-Great noise cancellation/isolation.-Perfect fit.-Superb look with the mirrored finish on the outside.-Amazing battery life and performanceIf there is anything I could wish for in these earbuds, it would be multipoint functionality.
Read more"
130,"Buena calidad de sonido y estupenda cancelación de ruido. Son muy cómodos y se adaptan perfectamente ya sea para estudiar, hacer deporte o simplemente disfrutar de tu música favorita.
Read more"
